
## 🏗️ System Architecture Core (Pass 1 & Pass 2)
| ID | Component | Phase | Status | Legacy Path / Notes |
|---|---|---|---|---|
| P4-COR300 | TestLiveCodingEngineSimplified | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: test_live_coding_engine_simplified.py |
| P4-COR301 | CheckAstraUsb | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: check_astra_usb.py |
| P4-COR302 | TestLicenseIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: test_license_integration.py |
| P4-COR303 | TestLiveCodingEngineSimple | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: test_live_coding_engine_simple.py |
| P4-COR304 | TestCores | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: test_core_effects.py |
| P4-COR305 | HapVideoIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: hap_video_integration.py |
| P4-COR306 | ThreadManagerRk3588 | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: drivers/arm_opi5/thread_manager_rk3588.py |
| P4-COR307 | AudioProcessor | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: visimaths/backend/core/audio_processor.py |
| P4-COR308 | PerformanceMonitor | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: visimaths/backend/core/performance_monitor.py |
| P4-COR309 | QuickDataFlowDemo | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: demo/quick_data_flow_demo.py |
| P4-COR310 | AudioReactives | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: home/happy |
| P4-COR311 | TestLivingDebugOverlay | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: tests/test_living_debug_overlay.py |
| P4-COR312 | TestNeuralStyleTransfer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: tests/test_neural_style_transfer.py |
| P4-COR313 | HapCodec | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hap_codec.py |
| P4-COR314 | Recorder | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/recorder.py |
| P4-COR315 | ShaderPipelineVerifier | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/shader_pipeline_verifier.py |
| P4-COR316 | IntelligentVisualResponse | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/intelligent_visual_response.py |
| P4-COR317 | HapticPipe | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/haptic_pipe.py |
| P4-COR318 | TextOverlay | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/text_overlay.py |
| P4-COR319 | Modifiers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifier_nodes.py |
| P4-COR320 | SceneBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/scene_bridge.py |
| P4-COR321 | DmxController | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/dmx_controller.py |
| P4-COR322 | MoodManifold | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mood_manifold.py |
| P4-COR323 | ClipMetadata | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/clip_metadata.py |
| P4-COR324 | NdiSender | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/ndi_sender.py |
| P4-COR325 | ThemeManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/theme_manager.py |
| P4-COR326 | PriorityCommandQueue | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/priority_command_queue.py |
| P4-COR327 | WebsocketGateway | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/websocket_gateway.py |
| P4-COR328 | TestWebsocketGateway | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/test_websocket_gateway.py |
| P4-COR329 | GraphSections | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/graph_sections.py |
| P4-COR330 | ProcessManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/process_manager.py |
| P4-COR331 | SemanticIntentLayer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/semantic_intent_layer.py |
| P4-COR332 | CreativeArena | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/creative_arena.py |
| P4-COR333 | TextureManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/texture_manager.py |
| P4-COR334 | ChunkWebsocketHandlers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/chunk_websocket_handlers.py |
| P4-COR335 | SpatialLayout | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/spatial_layout.py |
| P4-COR336 | ApiBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/api_bridge.py |
| P4-COR337 | SnapshotManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/snapshot_manager.py |
| P4-COR338 | SyncManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/sync_manager.py |
| P4-COR339 | NodeGraphWebsocketHandler | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/node_graph_websocket_handler.py |
| P4-COR340 | UnifiedHydraExtensions | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/unified_hydra_extensions.py |
| P4-COR341 | DepthPerformance | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_performance.py |
| P4-COR342 | AgentDictionary | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/agent_dictionary.py |
| P4-COR343 | WebsocketFractalHandler | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/websocket_fractal_handler.py |
| P4-COR344 | MobileParticles | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mobile_particles.py |
| P4-COR345 | NativeWsBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/native_ws_bridge.py |
| P4-COR346 | HapPlayer.Py.Recovered | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hap_player.py.recovered.py |
| P4-COR347 | VjlivestLicenseSystem | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vjlivest_license_system.py |
| P4-COR348 | StatePersistence | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/state_persistence.py |
| P4-COR349 | GravityWellApi | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gravity_well_api.py |
| P4-COR350 | NdiReceiver | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/ndi_receiver.py |
| P4-COR351 | AgentBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/agent_bridge.py |
| P4-COR352 | VideoSources | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/video_sources.py |
| P4-COR353 | LicenseManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/license_manager.py |
| P4-COR354 | HardwareConfig | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hardware_config.py |
| P4-COR355 | WebPreviewManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/web_preview_manager.py |
| P4-COR356 | RhythmVisuals | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/rhythm_visual_effects.py |
| P4-COR357 | PluginApi | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/plugin_api.py |
| P4-COR358 | ShaderPipelineIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/shader_pipeline_integration.py |
| P4-COR359 | RoutingMatrix | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/routing_matrix.py |
| P4-COR360 | LiveCoding | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/live_coding.py |
| P4-COR361 | TestMobileDmx | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/test_mobile_dmx.py |
| P4-COR362 | Guardian | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/guardian.py |
| P4-COR363 | ChunkManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/chunk_manager.py |
| P4-COR364 | SaveSystem | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/save_system.py |
| P4-COR365 | DepthWebsocketHandlers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_websocket_handlers.py |
| P4-COR366 | DepthProcessing | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_processing.py |
| P4-COR367 | InputManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/input_manager.py |
| P4-COR368 | StateManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/state_manager.py |
| P4-COR369 | LiveBuffer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/live_buffer.py |
| P4-COR370 | LiveCodingEngine | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/live_coding_engine.py |
| P4-COR371 | PllSync | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/pll_sync.py |
| P4-COR372 | HotplugDetectorNew | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hotplug_detector_new.py |
| P4-COR373 | RenderUtils | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/render_utils.py |
| P4-COR374 | MainGraphIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/main_node_graph_integration.py |
| P4-COR375 | WorkerTransport | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/worker_transport.py |
| P4-COR376 | WebsocketQuantumHandler | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/websocket_quantum_handler.py |
