P0-G1 | WORKSPACE/PRIME_DIRECTIVE.md | target= | base=WORKSPACE/PRIME_DIRECTIVE.md
P0-G2 | WORKSPACE/SAFETY_RAILS.md | target= | base=WORKSPACE/SAFETY_RAILS.md
P0-G3 | WORKSPACE/COMMS/AGENT_SYNC.md | target= | base=WORKSPACE/COMMS/AGENT_SYNC.md
P0-G4 | WORKSPACE/COMMS/LOCKS.md | target= | base=WORKSPACE/COMMS/LOCKS.md
P0-G5 | WORKSPACE/COMMS/DECISIONS.md | target= | base=WORKSPACE/COMMS/DECISIONS.md
P0-G6 | WORKSPACE/KNOWLEDGE/DREAMER_LOG.md | target= | base=WORKSPACE/KNOWLEDGE/DREAMER_LOG.md
P0-G7 | WORKSPACE/KNOWLEDGE/TOOL_TIPS.md | target= | base=WORKSPACE/KNOWLEDGE/TOOL_TIPS.md
P0-G8 | Root PRIME_DIRECTIVE.md | target= | base=Root PRIME_DIRECTIVE.md
P0-W1 | .agent/workflows/manager-job.md | target= | base=.agent/workflows/manager-job.md
P0-W2 | .agent/workflows/no-stub-policy.md | target= | base=.agent/workflows/no-stub-policy.md
P0-W3 | .agent/workflows/bespoke-plugin-migration.md | target= | base=.agent/workflows/bespoke-plugin-migration.md
P0-W4 | .agent/workflows/phase-gate-check.md | target= | base=.agent/workflows/phase-gate-check.md
P0-Q1 | scripts/check_stubs.py | target= | base=scripts/check_stubs.py
P0-Q2 | scripts/check_file_size.py | target= | base=scripts/check_file_size.py
P0-Q3 | scripts/check_file_lock.py | target= | base=scripts/check_file_lock.py
P0-Q4 | .pre-commit-config.yaml | target= | base=.pre-commit-config.yaml
P0-M1 | MCP server: vjlive3brain (knowledge base) | target=knowledge base | base=MCP server: vjlive3brain
P0-M2 | MCP server: vjlive-switchboard (locks + comms + queue) | target=locks + comms + queue | base=MCP server: vjlive-switchboard
P0-A1 | Phase 0 App Window (FPS · Memory · Agents) | target=FPS · Memory · Agents | base=Phase 0 App Window
P0-V1 | Phase gate check | target= | base=Phase gate check
P3-EXT040 | depth_acid_fractal (DepthAcidFractalPlugin) | target=DepthAcidFractalPlugin | base=depth_acid_fractal
P2-H2 | Audio reactive input analysis block | target= | base=Audio reactive input analysis block
P2-X2 | Timecode sync (LTC/MTC/NTP) | target=LTC/MTC/NTP | base=Timecode sync
P4-BA01 | B1to8 | target= | base=B1to8
